"subj","word","block","seq"
12,"koepif","MN1",0
12,"koepif","MN1",28
12,"koepif","MN1",48
12,"koepif","Pre",11
12,"koepif","Pre",3
12,"koepif","Pre",40
12,"koeppif","AF2",10
12,"koeppif","AF2",34
12,"koeppif","AF2",36
12,"parrif","AF2",16
12,"parrif","AF2",22
12,"parrif","AF2",31
12,"parrif","MN1",20
12,"parrif","MN1",44
12,"parrif","MN1",53
12,"parrif","Pre",18
12,"parrif","Pre",5
12,"parrif","Pre",51
12,"peffif","AF2",32
12,"peffif","AF2",40
12,"peffif","AF2",9
12,"peffif","MN1",15
12,"peffif","MN1",22
12,"peffif","MN1",31
12,"peffif","Pre",32
12,"peffif","Pre",33
12,"peffif","Pre",49
12,"piffif","AF2",19
12,"piffif","AF2",26
12,"piffif","AF2",43
12,"piffif","MN1",19
12,"piffif","MN1",27
12,"piffif","MN1",46
12,"piffif","Pre",28
12,"piffif","Pre",48
12,"piffif","Pre",52
12,"possif","AF2",27
12,"possif","AF2",7
12,"possif","AF2",8
12,"possif","MN1",13
12,"possif","MN1",2
12,"possif","MN1",49
12,"possif","Pre",41
12,"possif","Pre",44
12,"possif","Pre",6
12,"saakif","AF2",37
12,"saakif","AF2",39
12,"saakif","AF2",48
12,"saakif","MN1",14
12,"saakif","MN1",24
12,"saakif","MN1",41
12,"saakif","Pre",19
12,"saakif","Pre",2
12,"saakif","Pre",21
12,"suutif","AF2",17
12,"suutif","AF2",46
12,"suutif","AF2",51
12,"suutif","MN1",17
12,"suutif","MN1",26
12,"suutif","MN1",39
12,"suutif","Pre",1
12,"suutif","Pre",35
12,"suutif","Pre",53
12,"taapif","AF2",25
12,"taapif","AF2",3
