fileName	Label	F0[Hz]	F1[Hz]	F2[Hz]	F3[Hz]	F4[Hz]	F1[Bark]	F2[Bark]	F3[Bark]	F4[Bark]
subj_17_tissif_Pre_14	I	231	451	1853	2773	3798	5	12	15	17
subj_17_tissif_Pre_2	I	239	469	1966	2894	4166	5	13	15	18
subj_17_tissif_Pre_29	I	231	459	1867	2790	3862	5	12	15	17
subj_18_kiggif_10_Post	I	308	327	2639	2889	3487	3	15	15	17
subj_18_kiggif_15_Post	I	243	360	2653	2819	3910	4	15	15	17
subj_18_kiggif_16_Post	I	263	294	2646	3061	3585	3	15	16	17
subj_18_kiggif_AF2_15	I	280	303	2535	2920	3999	3	14	15	18
subj_18_kiggif_AF2_36	I	293	316	2567	2908	3624	3	15	15	17
subj_18_kiggif_AF2_38	I	308	346	2404	3029	3530	4	14	16	17
subj_18_kiggif_MN1_22	I	264	458	2126	2843	3832	5	13	15	17
subj_18_kiggif_MN1_45	I	293	562	2406	2825	3819	5	14	15	17
subj_18_kiggif_MN1_52	I	342	352	2568	3018	3555	4	15	16	17
subj_18_kiggif_Pre_31	I	235	433	2409	2797	3758	4	14	15	17
subj_18_kiggif_Pre_51	I	231	363	2594	3108	3738	4	15	16	17
subj_18_kiggif_Pre_9	I	236	353	2235	2923	3745	4	14	15	17
subj_18_piffif_35_Post	I	301	309	2396	2941	3784	3	14	16	17
subj_18_piffif_49_Post	I	321	328	2407	2757	3713	3	14	15	17
subj_18_piffif_9_Post	I	231	307	2541	2994	3876	3	15	16	17
subj_18_piffif_AF2_1	I	274	276	2456	3210	3693	3	14	16	17
subj_18_piffif_AF2_21	I	235	277	2620	2983	3831	3	15	16	17
subj_18_piffif_AF2_29	I	264	271	2412	2917	3621	3	14	15	17
subj_18_piffif_MN1_12	I	305	307	2420	2768	3815	3	14	15	17
subj_18_piffif_MN1_21	I	346	348	2427	2611	3569	4	14	15	17
subj_18_piffif_MN1_28	I	288	295	2430	2811	3753	3	14	15	17
subj_18_piffif_Pre_23	I	246	290	2416	2904	3866	3	14	15	17
subj_18_piffif_Pre_49	I	219	347	2385	3049	3820	4	14	16	17
