"","fileName","subj","word","block","seq","Label","F0Hz","F1Hz","F2Hz","F1Bark","F2Bark","gender","BB","AF","F1erb","F2erb"
"152","subj_18_piffif_Pre_7","18","piffif","1",7,"I",234,400,2217,4,14,"F","NB","MN",8.89746802422482,23.0554579390566
"153","subj_18_tissif_21_Post","18","tissif","4",21,"I",255,286,2501,3,14,"F","NB","MN",7.03320891367636,24.3290162428795
"154","subj_18_tissif_25_Post","18","tissif","4",25,"I",266,279,2514,3,14,"F","NB","MN",6.90691083756339,24.385744104578
"155","subj_18_tissif_6_Post","18","tissif","4",6,"I",336,345,2219,4,14,"F","NB","MN",8.04028210393703,23.105101842753
"156","subj_18_tissif_MN1_13","18","tissif","2",13,"I",275,556,2064,5,13,"F","NB","MN",10.9954410734809,22.2434296317147
"157","subj_18_tissif_MN1_17","18","tissif","2",17,"I",332,335,2334,3,14,"F","NB","MN",7.87639647831236,23.6088728987559
"158","subj_18_tissif_MN1_51","18","tissif","2",51,"I",357,361,2373,4,14,"F","NB","MN",8.29715843653288,23.7529833019542
"159","subj_18_tissif_Pre_33","18","tissif","1",33,"I",230,325,2353,3,14,"F","NB","MN",7.70984712728326,23.6962358643636
"160","subj_18_tissif_Pre_42","18","tissif","1",42,"I",264,305,2393,3,14,"F","NB","MN",7.36841537320716,23.8775432027881
"161","subj_18_tissif_Pre_47","18","tissif","1",47,"I",233,313,2564,3,15,"F","NB","MN",7.50635259834754,24.5562860502452
"162","subj_19_kiggif_19_Post","19","kiggif","4",19,"I",242,457,2355,5,14,"F","BB","AF",9.71556265434019,23.6067819100752
"163","subj_19_kiggif_38_Post","19","kiggif","4",38,"I",226,401,2271,4,14,"F","BB","AF",8.91240452815884,23.2907119410117
"164","subj_19_kiggif_52_Post","19","kiggif","4",52,"I",211,430,2130,4,13,"F","BB","AF",9.33626938884965,22.6422348953412
"165","subj_19_kiggif_AF2_29","19","kiggif","2",29,"I",237,450,1183,5,10,"F","BB","AF",9.61858623526041,17.1464394049034
"166","subj_19_kiggif_AF2_6","19","kiggif","2",6,"I",255,494,1517,5,11,"F","BB","AF",10.2132019472182,19.3663568659451
"167","subj_19_kiggif_AF2_8","19","kiggif","2",8,"I",239,447,1457,4,11,"F","BB","AF",9.57673808637942,19.028433716635
"168","subj_19_kiggif_Pre_0","19","kiggif","1",0,"I",231,368,2389,4,14,"F","BB","AF",8.40754241170433,23.8141508980072
"169","subj_19_kiggif_Pre_10","19","kiggif","1",10,"I",229,425,2360,4,14,"F","BB","AF",9.26444193777686,23.6513420941355
