fileName	Label	F0[Hz]	F1[Hz]	F2[Hz]	F1[Bark]	F2[Bark]
subj_3_tissif_47_Post	I	142	403	1741	4	12
subj_3_tissif_AF2_13	I	137	371	1862	4	12
subj_3_tissif_AF2_22	I	135	383	1853	4	12
subj_3_tissif_AF2_39	I	140	365	1685	4	12
subj_3_tissif_MN1_1	I	206	439	1776	4	12
subj_3_tissif_MN1_24	I	182	460	1776	5	12
subj_3_tissif_MN1_26	I	184	394	1698	4	12
subj_3_tissif_Pre_10	I	145	372	1768	4	12
subj_3_tissif_Pre_13	I	167	404	1781	4	12
subj_3_tissif_Pre_17	I	147	357	1877	4	12
subj_40_kiggif_21_Post	I	164	339	1825	4	12
subj_40_kiggif_26_Post	I	143	415	1951	4	13
subj_40_kiggif_39_Post	I	149	420	2008	4	13
subj_40_kiggif_AF2_24	I	133	349	1978	4	13
subj_40_kiggif_AF2_29	I	135	367	2145	4	13
subj_40_kiggif_AF2_46	I	141	378	2107	4	13
subj_40_kiggif_MN1_20	I	142	417	1981	4	13
subj_40_kiggif_MN1_27	I	149	430	2012	4	13
subj_40_kiggif_MN1_39	I	147	421	2044	4	13
subj_40_kiggif_Pre_10	I	142	356	2133	4	13
subj_40_kiggif_Pre_33	I	150	352	2161	4	13
subj_40_kiggif_Pre_6	I	148	348	2138	4	13
subj_40_piffif_17_Post	I	150	366	1939	4	13
subj_40_piffif_53_Post	I	153	435	1757	4	12
subj_40_piffif_9_Post	I	149	413	1921	4	13
subj_40_piffif_AF2_50	I	141	379	1836	4	12
subj_40_piffif_AF2_53	I	144	370	1989	4	13
subj_40_piffif_AF2_8	I	146	396	1849	4	12
subj_40_piffif_MN1_33	I	143	421	1756	4	12
subj_40_piffif_MN1_35	I	149	428	1806	4	12
subj_40_piffif_MN1_46	I	144	426	1856	4	12
subj_40_piffif_Pre_13	I	158	362	1998	4	13
subj_40_piffif_Pre_46	I	146	398	1852	4	12
subj_40_piffif_Pre_5	I	150	388	2061	4	13
subj_40_tissif_23_Post	I	156	363	1836	4	12
subj_40_tissif_42_Post	I	146	395	1858	4	12
subj_40_tissif_7_Post	I	152	420	1914	4	13
subj_40_tissif_AF2_1	I	149	365	2014	4	13
subj_40_tissif_AF2_28	I	138	365	1953	4	13
subj_40_tissif_AF2_52	I	142	372	1871	4	12
subj_40_tissif_MN1_1	I	165	369	1856	4	12
subj_40_tissif_MN1_37	I	146	415	1877	4	12
subj_40_tissif_MN1_4	I	159	429	1878	4	12
subj_40_tissif_Pre_16	I	142	387	1962	4	13
subj_40_tissif_Pre_35	I	144	381	1994	4	13
subj_40_tissif_Pre_8	I	146	383	1901	4	13
subj_43_kiggif_14_Post	I	112	355	1773	4	12
subj_43_kiggif_27_Post	I	108	360	1771	4	12
subj_43_kiggif_6_Post	I	114	318	1707	3	12
subj_43_kiggif_AF2_28	I	131	359	1804	4	12
subj_43_kiggif_AF2_35	I	134	343	1762	4	12
subj_43_kiggif_AF2_52	I	141	388	1801	4	12
subj_43_kiggif_MN1_26	I	151	395	1750	4	12
subj_43_kiggif_MN1_42	I	150	387	1794	4	12
subj_43_kiggif_MN1_50	I	149	378	1791	4	12
subj_43_kiggif_Pre_22	I	142	377	1865	4	12
subj_43_kiggif_Pre_25	I	140	370	1822	4	12
subj_43_kiggif_Pre_6	I	162	367	1928	4	13
subj_43_piffif_43_Post	I	106	374	1665	4	12
subj_43_piffif_4_Post	I	114	359	1710	4	12
subj_43_piffif_9_Post	I	116	356	1685	4	12
subj_43_piffif_AF2_4	I	143	375	1713	4	12
subj_43_piffif_AF2_49	I	131	357	1759	4	12
subj_43_piffif_AF2_8	I	138	386	1735	4	12
subj_43_piffif_MN1_38	I	156	420	1705	4	12
subj_43_piffif_MN1_48	I	151	398	1639	4	12
subj_43_piffif_MN1_6	I	147	392	1682	4	12
subj_43_piffif_Pre_18	I	150	396	1763	4	12
subj_43_piffif_Pre_43	I	129	344	1752	4	12
subj_43_piffif_Pre_46	I	143	398	1756	4	12
subj_43_tissif_20_Post	I	111	378	1703	4	12
subj_43_tissif_23_Post	I	110	349	1702	4	12
subj_43_tissif_25_Post	I	108	352	1710	4	12
subj_43_tissif_AF2_17	I	132	346	1728	4	12
subj_43_tissif_AF2_42	I	150	329	1787	3	12
subj_43_tissif_AF2_7	I	139	367	1734	4	12
subj_43_tissif_MN1_21	I	153	370	1679	4	12
subj_43_tissif_MN1_37	I	152	398	1628	4	12
subj_43_tissif_MN1_7	I	159	399	1732	4	12
subj_43_tissif_Pre_29	I	142	389	1730	4	12
subj_43_tissif_Pre_38	I	143	413	1742	4	12
subj_43_tissif_Pre_41	I	136	363	1824	4	12
subj_60_kiggif_11_Post	I	174	298	2029	3	13
subj_60_kiggif_14_Post	I	162	310	1924	3	13
subj_60_kiggif_20_Post	I	167	306	1896	3	13
subj_60_kiggif_AF2_21	I	224	268	895	3	8
subj_60_kiggif_AF2_40	I	211	288	816	3	7
subj_60_kiggif_AF2_51	I	262	296	1074	3	9
subj_60_kiggif_MN1_13	I	333	560	1325	5	10
subj_60_kiggif_MN1_17	I	324	574	1349	6	10
subj_60_kiggif_MN1_41	I	362	540	1163	5	9
subj_60_kiggif_Pre_22	I	172	321	2014	3	13
subj_60_kiggif_Pre_53	I	183	343	2023	4	13
subj_60_piffif_25_Post	I	171	325	1758	3	12
subj_60_piffif_27_Post	I	171	338	1778	3	12
subj_60_piffif_49_Post	I	167	319	1740	3	12
subj_60_piffif_AF2_13	I	232	333	957	3	8
