fileName	Label	F0[Hz]	F1[Hz]	F2[Hz]	F1[Bark]	F2[Bark]
subj_23_tissif_MN1_3	I	344	610	2079	6	13
subj_23_tissif_MN1_4	I	325	630	2249	6	14
subj_23_tissif_MN1_50	I	376	675	2087	6	13
subj_23_tissif_Pre_22	I	285	570	2061	6	13
subj_23_tissif_Pre_44	I	288	557	2155	5	13
subj_23_tissif_Pre_8	I	268	484	2139	5	13
subj_26_kiggif_21_Post	I	288	566	2159	6	13
subj_26_kiggif_24_Post	I	295	546	2382	5	14
subj_26_kiggif_25_Post	I	290	561	2201	5	14
subj_26_kiggif_AF2_10	I	264	501	2462	5	14
subj_26_kiggif_AF2_12	I	269	469	2533	5	14
subj_26_kiggif_AF2_40	I	273	450	2539	5	15
subj_26_kiggif_MN1_28	I	272	521	2156	5	13
subj_26_kiggif_MN1_30	I	266	494	2027	5	13
subj_26_kiggif_MN1_38	I	270	477	2169	5	13
subj_26_kiggif_Pre_2	I	258	479	2579	5	15
subj_26_kiggif_Pre_36	I	274	487	2211	5	14
subj_26_kiggif_Pre_39	I	263	488	2326	5	14
subj_26_piffif_17_Post	I	279	550	1986	5	13
subj_26_piffif_19_Post	I	295	580	2084	6	13
subj_26_piffif_37_Post	I	291	565	2033	5	13
subj_26_piffif_AF2_14	I	269	494	2147	5	13
subj_26_piffif_AF2_22	I	237	481	1956	5	13
subj_26_piffif_AF2_23	I	247	499	1888	5	13
subj_26_piffif_MN1_16	I	275	552	1894	5	13
subj_26_piffif_MN1_44	I	284	556	2001	5	13
subj_26_piffif_MN1_5	I	264	537	2059	5	13
subj_26_piffif_Pre_13	I	252	502	1966	5	13
subj_26_piffif_Pre_16	I	260	514	2056	5	13
subj_26_piffif_Pre_46	I	251	499	1991	5	13
subj_26_tissif_18_Post	I	284	539	1955	5	13
subj_26_tissif_23_Post	I	283	552	1974	5	13
subj_26_tissif_52_Post	I	272	512	2097	5	13
subj_26_tissif_AF2_17	I	288	528	2052	5	13
subj_26_tissif_AF2_20	I	259	498	2030	5	13
subj_26_tissif_AF2_8	I	265	506	2044	5	13
subj_26_tissif_MN1_14	I	279	569	1913	6	13
subj_26_tissif_MN1_19	I	277	533	1882	5	12
subj_26_tissif_MN1_8	I	266	528	1857	5	12
subj_26_tissif_Pre_11	I	244	484	1888	5	13
subj_26_tissif_Pre_21	I	249	497	1937	5	13
subj_26_tissif_Pre_40	I	249	495	1993	5	13
subj_27_kiggif_17_Post	I	280	367	2210	4	14
subj_27_kiggif_23_Post	I	275	373	2179	4	13
subj_27_kiggif_37_Post	I	255	392	2298	4	14
subj_27_kiggif_AF2_18	I	279	320	2218	3	14
subj_27_kiggif_AF2_20	I	273	354	2166	4	13
subj_27_kiggif_AF2_9	I	290	412	2311	4	14
subj_27_kiggif_MN1_39	I	282	487	2216	5	14
subj_27_kiggif_MN1_47	I	288	503	2293	5	14
subj_27_kiggif_MN1_51	I	285	490	2290	5	14
subj_27_kiggif_Pre_25	I	264	536	2104	5	13
subj_27_kiggif_Pre_28	I	267	343	2217	4	14
subj_27_kiggif_Pre_53	I	280	371	2237	4	14
subj_27_piffif_34_Post	I	288	514	2006	5	13
subj_27_piffif_43_Post	I	253	492	2004	5	13
subj_27_piffif_48_Post	I	295	501	1916	5	13
subj_27_piffif_AF2_42	I	276	386	1901	4	13
subj_27_piffif_AF2_47	I	281	448	1941	5	13
subj_27_piffif_AF2_50	I	277	435	1836	4	12
subj_27_piffif_MN1_13	I	308	579	2149	6	13
subj_27_piffif_MN1_15	I	252	520	2058	5	13
subj_27_piffif_MN1_2	I	304	603	2045	6	13
subj_27_piffif_Pre_26	I	269	385	1884	4	12
subj_27_piffif_Pre_43	I	266	431	2001	4	13
subj_27_piffif_Pre_46	I	295	408	2052	4	13
subj_27_tissif_25_Post	I	272	381	2052	4	13
subj_27_tissif_3_Post	I	277	394	1972	4	13
subj_27_tissif_50_Post	I	263	409	2113	4	13
subj_27_tissif_AF2_16	I	285	406	1999	4	13
subj_27_tissif_AF2_34	I	267	376	1981	4	13
subj_27_tissif_AF2_46	I	280	400	1942	4	13
subj_27_tissif_MN1_20	I	316	515	1980	5	13
subj_27_tissif_MN1_33	I	310	431	2148	4	13
