fileName	Label	F0[Hz]	F1[Hz]	F2[Hz]	F3[Hz]	F4[Hz]	F1[Bark]	F2[Bark]	F3[Bark]	F4[Bark]
subj_33_piffif_14_Post	I	120	380	1790	2400	3584	4	12	14	17
subj_33_piffif_38_Post	I	84	395	1776	2331	3470	4	12	14	17
subj_33_piffif_AF2_15	I	148	357	1321	2410	3412	4	10	14	17
subj_33_piffif_AF2_26	I	162	409	1310	2418	3545	4	10	14	17
subj_33_piffif_AF2_37	I	145	410	1465	2509	3553	4	11	14	17
subj_33_piffif_MN1_1	I	159	415	1472	2438	3428	4	11	14	17
subj_33_piffif_MN1_25	I	140	415	1526	2157	3524	4	11	13	17
subj_33_piffif_MN1_7	I	140	412	1352	2435	3444	4	10	14	17
subj_33_piffif_Pre_20	I	144	401	1783	2512	3612	4	12	14	17
subj_33_piffif_Pre_23	I	134	375	1844	2423	3648	4	12	14	17
subj_33_piffif_Pre_32	I	141	387	1803	2399	3610	4	12	14	17
subj_33_tissif_2_Post	I	120	370	1814	2409	3725	4	12	14	17
subj_33_tissif_3_Post	I	112	391	1846	2434	3621	4	12	14	17
subj_33_tissif_5_Post	I	123	372	1794	2352	3808	4	12	14	17
subj_33_tissif_AF2_28	I	141	381	1586	2344	3546	4	11	14	17
subj_33_tissif_AF2_41	I	131	380	1781	2407	3654	4	12	14	17
subj_33_tissif_AF2_51	I	131	388	1622	2028	3199	4	12	13	16
subj_33_tissif_MN1_16	I	137	406	1603	2124	3520	4	11	13	17
subj_33_tissif_MN1_17	I	132	399	1449	2181	3443	4	11	13	17
subj_33_tissif_MN1_42	I	142	404	1537	2423	3498	4	11	14	17
subj_33_tissif_Pre_11	I	155	193	1970	2822	3567	2	13	15	17
subj_33_tissif_Pre_30	I	143	380	1874	2426	3757	4	12	14	17
subj_3_kiggif_18_Post	I	144	425	1738	2544	3298	4	12	15	16
subj_3_kiggif_25_Post	I	140	425	1660	2721	3555	4	12	15	17
subj_3_kiggif_49_Post	I	141	405	1861	2640	3293	4	12	15	16
subj_3_kiggif_AF2_16	I	143	351	2112	2604	3394	4	13	15	16
subj_3_kiggif_MN1_2	I	187	408	1844	2618	3318	4	12	15	16
subj_3_kiggif_MN1_42	I	173	480	1856	2516	3226	5	12	14	16
subj_3_kiggif_MN1_8	I	200	367	2047	2700	3071	4	13	15	16
subj_3_kiggif_Pre_18	I	148	376	2042	2422	3280	4	13	14	16
subj_3_kiggif_Pre_34	I	162	377	2012	2499	3345	4	13	14	16
subj_3_kiggif_Pre_5	I	156	344	2050	2447	3403	4	13	14	17
subj_3_piffif_15_Post	I	144	360	1867	2555	3180	4	12	15	16
subj_3_piffif_24_Post	I	141	424	1591	2599	3200	4	11	15	16
subj_3_piffif_38_Post	I	137	407	1671	2386	3271	4	12	14	16
subj_3_piffif_AF2_24	I	137	407	1748	2410	3378	4	12	14	16
subj_3_piffif_AF2_29	I	133	416	1789	2420	3430	4	12	14	17
subj_3_piffif_AF2_48	I	143	391	1849	2374	3337	4	12	14	16
subj_3_piffif_MN1_29	I	184	441	1641	2259	3252	4	12	14	16
subj_3_piffif_MN1_35	I	175	483	1656	2380	3272	5	12	14	16
subj_3_piffif_MN1_41	I	176	465	1610	2351	3317	5	11	14	16
subj_3_piffif_Pre_2	I	150	410	1778	2352	3281	4	12	14	16
subj_3_piffif_Pre_36	I	145	387	1739	2558	3383	4	12	15	16
subj_3_piffif_Pre_7	I	140	399	1681	2331	3282	4	12	14	16
subj_3_tissif_29_Post	I	132	456	1725	2640	3485	5	12	15	17
subj_3_tissif_32_Post	I	136	400	1779	2517	3295	4	12	14	16
subj_3_tissif_47_Post	I	142	403	1741	2584	3458	4	12	15	17
subj_3_tissif_AF2_13	I	137	371	1862	2635	3438	4	12	15	17
subj_3_tissif_AF2_22	I	135	383	1853	2580	3459	4	12	15	17
subj_3_tissif_AF2_39	I	140	365	1685	2606	3413	4	12	15	17
subj_3_tissif_MN1_1	I	206	439	1776	2671	3383	4	12	15	16
subj_3_tissif_MN1_24	I	182	460	1776	2448	3645	5	12	14	17
subj_3_tissif_MN1_26	I	184	394	1698	2415	3424	4	12	14	17
subj_3_tissif_Pre_10	I	145	372	1768	2538	3513	4	12	14	17
subj_3_tissif_Pre_13	I	167	404	1781	2536	3452	4	12	14	17
subj_3_tissif_Pre_17	I	147	357	1877	2488	3521	4	12	14	17
subj_40_kiggif_21_Post	I	164	339	1825	2348	2884	4	12	14	15
subj_40_kiggif_26_Post	I	143	415	1951	2667	3282	4	13	15	16
subj_40_kiggif_39_Post	I	149	420	2008	2823	3358	4	13	15	16
subj_40_kiggif_AF2_24	I	133	349	1978	2194	3157	4	13	14	16
subj_40_kiggif_AF2_29	I	135	367	2145	2726	3356	4	13	15	16
subj_40_kiggif_AF2_46	I	141	378	2107	2648	3354	4	13	15	16
subj_40_kiggif_MN1_20	I	142	417	1981	2726	3305	4	13	15	16
subj_40_kiggif_MN1_27	I	149	430	2012	2747	3248	4	13	15	16
subj_40_kiggif_MN1_39	I	147	421	2044	2735	3244	4	13	15	16
subj_40_kiggif_Pre_10	I	142	356	2133	2464	3377	4	13	14	16
subj_40_kiggif_Pre_33	I	150	352	2161	2589	3432	4	13	15	17
subj_40_kiggif_Pre_6	I	148	348	2138	2671	3004	4	13	15	16
subj_40_piffif_17_Post	I	150	366	1939	2805	3346	4	13	15	16
subj_40_piffif_53_Post	I	153	435	1757	2745	3407	4	12	15	17
subj_40_piffif_9_Post	I	149	413	1921	2774	3405	4	13	15	17
subj_40_piffif_AF2_50	I	141	379	1836	2406	3118	4	12	14	16
subj_40_piffif_AF2_53	I	144	370	1989	2675	2960	4	13	15	16
subj_40_piffif_AF2_8	I	146	396	1849	2921	3332	4	12	15	16
subj_40_piffif_MN1_33	I	143	421	1756	2433	3234	4	12	14	16
subj_40_piffif_MN1_35	I	149	428	1806	2666	3195	4	12	15	16
subj_40_piffif_MN1_46	I	144	426	1856	2700	3271	4	12	15	16
subj_40_piffif_Pre_13	I	158	362	1998	2548	3462	4	13	15	17
subj_40_piffif_Pre_46	I	146	398	1852	2435	3231	4	12	14	16
subj_40_piffif_Pre_5	I	150	388	2061	2712	3421	4	13	15	17
subj_40_tissif_23_Post	I	156	363	1836	2666	3327	4	12	15	16
subj_40_tissif_42_Post	I	146	395	1858	2645	3344	4	12	15	16
subj_40_tissif_7_Post	I	152	420	1914	2810	3347	4	13	15	16
subj_40_tissif_AF2_1	I	149	365	2014	2569	3037	4	13	15	16
subj_40_tissif_AF2_28	I	138	365	1953	2572	3360	4	13	15	16
subj_40_tissif_AF2_52	I	142	372	1871	2483	3173	4	12	14	16
subj_40_tissif_MN1_1	I	165	369	1856	2717	3293	4	12	15	16
subj_40_tissif_MN1_37	I	146	415	1877	2740	3310	4	12	15	16
