fileName	Label	F0[Hz]	F1[Hz]	F2[Hz]	F1[Bark]	F2[Bark]
subj_35_tessif_MN1_0	E	218	718	1795	7	12
subj_35_tessif_MN1_39	E	204	655	1810	6	12
subj_35_tessif_MN1_43	E	201	599	1916	6	13
subj_35_tessif_Pre_27	E	273	574	1909	6	13
subj_35_tessif_Pre_4	E	247	642	1973	6	13
subj_35_tessif_Pre_9	E	250	609	2023	6	13
subj_36_keggif_11_Post	E	213	456	2072	5	13
subj_36_keggif_12_Post	E	209	557	1956	5	13
subj_36_keggif_30_Post	E	207	535	1982	5	13
subj_36_keggif_AF2_34	E	220	464	1967	5	13
subj_36_keggif_AF2_53	E	197	513	2050	5	13
subj_36_keggif_AF2_6	E	190	523	1963	5	13
subj_36_keggif_MN1_10	E	225	670	1848	6	12
subj_36_keggif_MN1_11	E	215	665	1936	6	13
subj_36_keggif_MN1_33	E	220	625	2076	6	13
subj_36_keggif_Pre_30	E	213	491	2078	5	13
subj_36_keggif_Pre_8	E	222	471	2069	5	13
subj_36_keggif_Pre_9	E	182	389	2087	4	13
subj_36_tessif_21_Post	E	213	523	1804	5	12
subj_36_tessif_6_Post	E	191	531	1827	5	12
subj_36_tessif_AF2_10	E	192	552	1789	5	12
subj_36_tessif_AF2_16	E	202	497	1788	5	12
subj_36_tessif_AF2_40	E	208	562	1726	5	12
subj_36_tessif_MN1_19	E	202	606	1580	6	11
subj_36_tessif_MN1_30	E	217	625	1697	6	12
subj_36_tessif_MN1_40	E	216	484	1690	5	12
subj_36_tessif_Pre_1	E	213	608	1739	6	12
subj_36_tessif_Pre_43	E	203	584	1818	6	12
subj_36_tessif_Pre_53	E	219	560	1764	5	12
