"","fileName","subj","word","block","seq","Label","F0Hz","F1Hz","F2Hz","F3Hz","F4.Hz.","F1Bark","F2Bark","F3Bark","F4Bark","gender","BB"
"102","subj_14_tissif_MN1_24",14,"tissif","MN1","24","I","249",439,1663,2988,4138,4,12,16,18,"F","BB"
"103","subj_14_tissif_MN1_53",14,"tissif","MN1","53","I","256",398,1507,2959,4176,4,11,16,18,"F","BB"
"104","subj_14_tissif_Pre_0",14,"tissif","Pre","0","I","232",450,2324,3160,4151,5,14,16,18,"F","BB"
"105","subj_14_tissif_Pre_23",14,"tissif","Pre","23","I","250",477,2279,3081,4203,5,14,16,18,"F","BB"
"106","subj_14_tissif_Pre_34",14,"tissif","Pre","34","I","260",353,2179,3101,4097,4,13,16,18,"F","BB"
"107","subj_15_kiggif_16_Post",15,"kiggif","Post","16","I","192",414,2308,2881,4159,4,14,15,18,"F","BB"
"108","subj_15_kiggif_38_Post",15,"kiggif","Post","38","I","170",398,2347,2907,4022,4,14,15,18,"F","BB"
"109","subj_15_kiggif_49_Post",15,"kiggif","Post","49","I","189",429,2376,2905,4016,4,14,15,18,"F","BB"
"110","subj_15_kiggif_AF2_1",15,"kiggif","AF1","1","I","312",660,1572,2416,3118,6,11,14,16,"F","BB"
"111","subj_15_kiggif_AF2_12",15,"kiggif","AF1","12","I","232",581,1362,2691,2862,6,10,15,15,"F","BB"
"112","subj_15_kiggif_AF2_28",15,"kiggif","AF1","28","I","259",768,1520,2594,2922,7,11,15,15,"F","BB"
"113","subj_15_kiggif_MN1_17",15,"kiggif","MN2","17","I","265",812,1369,2614,3403,7,10,15,16,"F","BB"
"114","subj_15_kiggif_MN1_45",15,"kiggif","MN2","45","I","205",654,1306,2545,3213,6,10,15,16,"F","BB"
"115","subj_15_kiggif_MN1_53",15,"kiggif","MN2","53","I","224",608,1598,2473,3399,6,11,14,16,"F","BB"
"116","subj_15_kiggif_Pre_10",15,"kiggif","Pre","10","I","264",442,2385,2899,4224,4,14,15,18,"F","BB"
